split,segment,fold,ratio,r_svd,rmse,mae,n_matched
test_final,new,4,20_80,0.2,1.6123095776281149,1.3646677238906189,346
test_final,new,4,30_70,0.3,1.4871758663712242,1.2499278488092807,346
test_final,new,4,40_60,0.4,1.3711587314792,1.1442089085220493,346
test_final,new,4,50_50,0.5,1.2667654882792212,1.050018119210761,346
test_final,new,4,60_40,0.6,1.1770928865930403,0.9679738795749611,346
test_final,new,4,70_30,0.7,1.105728199436722,0.8986537556091448,346
test_final,new,4,80_20,0.8,1.0563883586921108,0.8509358166399151,346
test_final,new,4,90_10,0.9,1.0322365057097356,0.8322750877540005,346
val_inner,trend,4,10_90,0.1,1.5945367542480977,1.3997051575180468,847
val_inner,trend,4,20_80,0.2,1.4606196607381337,1.2715417199877184,847
val_inner,trend,4,30_70,0.3,1.3299063026245852,1.1452533666131675,847
val_inner,trend,4,40_60,0.4,1.205312150487855,1.0261757992304266,847
val_inner,trend,4,50_50,0.5,1.0890568179138895,0.9180805953394141,847
val_inner,trend,4,60_40,0.6,0.9824815941966839,0.8212730992947381,847
val_inner,trend,4,70_30,0.7,0.8920325755787397,0.7370614657799561,847
val_inner,trend,4,80_20,0.8,0.8189342898930996,0.6693901792181305,847
val_inner,trend,4,90_10,0.9,0.7734303728401445,0.6226643665653819,847
test_final,trend,4,10_90,0.1,1.5976893014810396,1.400185721647683,894
test_final,trend,4,20_80,0.2,1.4680393953662842,1.2775698771480606,894
test_final,trend,4,30_70,0.3,1.3529482169853484,1.167877894021144,894
test_final,trend,4,40_60,0.4,1.2400706658125442,1.061433554267612,894
test_final,trend,4,50_50,0.5,1.1398001872308876,0.9695647984903869,894
test_final,trend,4,60_40,0.6,1.0515555392488407,0.8875872011677719,894
test_final,trend,4,70_30,0.7,0.9795332360011934,0.8159590705238002,894
test_final,trend,4,80_20,0.8,0.9323842735853212,0.7602968542345555,894
test_final,trend,4,90_10,0.9,0.9094178894472927,0.7217203389019712,894
val_inner,regular,4,10_90,0.1,1.60421740179988,1.3943891345989947,4837
val_inner,regular,4,20_80,0.2,1.4797090480963844,1.2764784912777385,4837
val_inner,regular,4,30_70,0.3,1.3565084578688664,1.1580514207027444,4837
val_inner,regular,4,40_60,0.4,1.2402649889099695,1.047807543685934,4837
val_inner,regular,4,50_50,0.5,1.1307581849446426,0.946743206903989,4837
val_inner,regular,4,60_40,0.6,1.0317838090853784,0.8575924013615636,4837
val_inner,regular,4,70_30,0.7,0.9453133434072719,0.7805499287701655,4837
val_inner,regular,4,80_20,0.8,0.8808378051240254,0.7194535408815453,4837
val_inner,regular,4,90_10,0.9,0.843222326142515,0.6799220911918867,4837
test_final,regular,4,10_90,0.1,1.6027930687198242,1.3979203007405596,4931
test_final,regular,4,20_80,0.2,1.4836842332590883,1.2885180099698634,4931
test_final,regular,4,30_70,0.3,1.3710197422319073,1.1828661866048304,4931
test_final,regular,4,40_60,0.4,1.2596517810918744,1.0793224797499827,4931
test_final,regular,4,50_50,0.5,1.1584228230943434,0.9846647799743179,4931
test_final,regular,4,60_40,0.6,1.0682496232900969,0.8999785379203455,4931
test_final,regular,4,70_30,0.7,0.9886085597555617,0.8202424984529499,4931
test_final,regular,4,80_20,0.8,0.9303898097021943,0.7544762271836548,4931
test_final,regular,4,90_10,0.9,0.8957434601484192,0.7053281897452173,4931
val_inner,new,5,10_90,0.1,1.7518685633270672,1.503410430139426,355
val_inner,new,5,20_80,0.2,1.6169532319907536,1.3820466283993929,355
val_inner,new,5,30_70,0.3,1.487434799772554,1.265803757978902,355
val_inner,new,5,40_60,0.4,1.3648505597906548,1.1540871477537729,355
val_inner,new,5,50_50,0.5,1.2512402069165944,1.0501539278524292,355
val_inner,new,5,60_40,0.6,1.1492681576141717,0.9580172856934922,355
val_inner,new,5,70_30,0.7,1.0622912871074652,0.8810513803668918,355
val_inner,new,5,80_20,0.8,0.9942527330012072,0.8187993729722,355
val_inner,new,5,90_10,0.9,0.9492336136872088,0.7766868904699203,355
test_final,new,5,10_90,0.1,1.7173002120146812,1.4807743184349813,324
test_final,new,5,20_80,0.2,1.5881256087242885,1.36371028325331,324
test_final,new,5,30_70,0.3,1.465432270775737,1.2515332469996805,324
test_final,new,5,40_60,0.4,1.3509871915087837,1.1447954307482227,324
test_final,new,5,50_50,0.5,1.2470633116467928,1.0474606731914256,324
test_final,new,5,60_40,0.6,1.1565004432056907,0.9605543680253521,324
test_final,new,5,70_30,0.7,1.082656689472369,0.8866890016409574,324
test_final,new,5,80_20,0.8,1.0291373084425604,0.8279607307839358,324
test_final,new,5,90_10,0.9,0.9992134668039371,0.7898494780067145,324
val_inner,trend,5,10_90,0.1,1.525974036858841,1.3286519675896071,809
val_inner,trend,5,20_80,0.2,1.3999973778478814,1.2077862973104136,809
val_inner,trend,5,30_70,0.3,1.282922476996044,1.0958705595505238,809
val_inner,trend,5,40_60,0.4,1.1700064274615236,0.991539419379352,809
val_inner,trend,5,50_50,0.5,1.0602379804611342,0.8939040504375165,809
val_inner,trend,5,60_40,0.6,0.9667824898985559,0.8112495829696543,809
val_inner,trend,5,70_30,0.7,0.8899478432980095,0.7385346986507403,809
val_inner,trend,5,80_20,0.8,0.8345470874416269,0.6823902285139111,809
val_inner,trend,5,90_10,0.9,0.8037501910096525,0.6467948186362331,809
test_final,trend,5,10_90,0.1,1.5552149421938601,1.3663598614579748,842
test_final,trend,5,20_80,0.2,1.4372185494741812,1.2541176264770568,842
test_final,trend,5,30_70,0.3,1.3251435400693896,1.146378816468231,842
test_final,trend,5,40_60,0.4,1.2211646064542603,1.0484829729481073,842
test_final,trend,5,50_50,0.5,1.1262931008791226,0.9604253830852834,842
