ratio,segment,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,r_svd
50_50,new,val_inner,0.24469998798461184,0.05693296146536563,1.0,0.0,0.17405052788330788,0.039537636779268304,0.9231321669793523,0.012342132045221919,0.5
50_50,regular,test_final,1.5434910042612824,0.09878171354494426,0.8421632858391803,0.00604127848834242,0.3567042730973972,0.0260460907640393,0.8488947324717557,0.008609719871454773,0.5
50_50,regular,val_inner,1.4790365410185622,0.17727562696628582,0.8673983930890354,0.0028901125063132277,0.34862472657646526,0.04841841644107339,0.8607329358471338,0.004892989474109923,0.5
50_50,trend,test_final,1.3536404967675764,0.17845065356383877,0.9776057099558617,0.0039746295609912365,0.4399681822825959,0.06278248945207632,0.9094634534033459,0.00906327705320984,0.5
50_50,trend,val_inner,1.4388912302232402,0.24379252186667233,0.985747879912467,0.0045871773786381334,0.5109340477332064,0.08158697136773649,0.9212337623651964,0.011553051079246432,0.5
60_40,new,test_final,0.2628993409955123,0.12024740783739701,1.0,0.0,0.18524393825253654,0.07865822999127392,0.9236204904817734,0.014034963853232914,0.6
60_40,new,val_inner,0.2806900146417311,0.041529313779697194,1.0,0.0,0.19936753546020347,0.027214449676643687,0.9261050497274924,0.01237367087859826,0.6
60_40,regular,test_final,1.7608346232751555,0.07905963076836693,0.8434449427755972,0.005645155957057925,0.42880949391390927,0.027599362444209154,0.8522266196927519,0.008292424046099065,0.6
60_40,regular,val_inner,1.6814351164868089,0.14466155865811842,0.8676430934999859,0.00304424926579389,0.42015099100312214,0.052353759416165914,0.8623580382417371,0.004456345987778149,0.6
60_40,trend,test_final,1.574766883343313,0.31033755339822056,0.9771816335334366,0.004570995153717406,0.5591530493522997,0.0965126857700979,0.9114642873631652,0.00886084141105999,0.6
60_40,trend,val_inner,1.661160725765842,0.2793964495616341,0.9858584858009888,0.0044335979870900105,0.6263009835189632,0.10038033830024709,0.9239070083319794,0.012553229277520546,0.6
70_30,new,test_final,0.3450359386839919,0.12249880638799837,1.0,0.0,0.24847712847521414,0.08360190859297344,0.9240810084470729,0.011496527080361816,0.7
70_30,new,val_inner,0.36253300778686726,0.02617275276465203,1.0,0.0,0.2595729520514764,0.01995823979773091,0.9272495100393275,0.01192625942376189,0.7
70_30,regular,test_final,1.9060207045309074,0.0825171589596745,0.8437541884203084,0.006319985836671862,0.534275683198554,0.02553864369436204,0.8539003576024733,0.00795073439308534,0.7
70_30,regular,val_inner,1.8279552868401279,0.08391341678071973,0.8683743304550017,0.0030460029553368404,0.5264959939047653,0.039923469192539286,0.8635839707610498,0.004562105555776561,0.7
70_30,trend,test_final,1.7583500035469093,0.2518402636627515,0.977508940122998,0.004850422122349505,0.6989443833511532,0.08462458992041998,0.9129009820654795,0.00893149256505297,0.7
70_30,trend,val_inner,1.8805969090764496,0.2684619001628875,0.985537866284923,0.00462233004544025,0.7809223846008968,0.10091431260021098,0.9243111460611274,0.01219141721379489,0.7
80_20,new,test_final,0.4532735851457785,0.11589833732539256,1.0,0.0,0.3392460546758275,0.07722557461142324,0.9235635728208781,0.011780563470495798,0.8
80_20,new,val_inner,0.4827714675957326,0.08231323242256347,1.0,0.0,0.3586164046979012,0.051771965568882757,0.928372312609849,0.011093078030393421,0.8
80_20,regular,test_final,1.8179061170004047,0.08669573474104299,0.8441159420691283,0.005530050997751574,0.635106621025036,0.03390721743086112,0.8554699816672959,0.0070942999898601184,0.8
80_20,regular,val_inner,1.8053483835133002,0.04780318928774842,0.8685133061438087,0.003425331959192863,0.6379383235507259,0.03025407766054758,0.8644146642595475,0.004204753676623691,0.8
80_20,trend,test_final,1.7893082094571238,0.15172848105386738,0.9782416722586538,0.003933076956591422,0.8562080916700708,0.041000004556220195,0.9155403767800069,0.011134569634244602,0.8
80_20,trend,val_inner,1.864715540309417,0.20851583428720785,0.9857397991437903,0.0035925329184625194,0.9107220026807697,0.08095163049320121,0.9240071505346117,0.012446718621070368,0.8
90_10,new,test_final,0.5311720154713989,0.11956755527205971,1.0,0.0,0.4221887110919882,0.0781147028994167,0.9253936638526683,0.01022339677615678,0.9
90_10,new,val_inner,0.5730644944505221,0.08194929868349415,1.0,0.0,0.4437544146525096,0.05884524828688564,0.9295230445865297,0.007559850221497876,0.9
90_10,regular,test_final,1.6478692899330472,0.0500738149395547,0.8441855881403899,0.005089648258697111,0.7152098582618143,0.022444141550442286,0.8558871519976783,0.006956195319043639,0.9
90_10,regular,val_inner,1.6414736760274322,0.08037544906736675,0.8690056110613529,0.0029398046137007537,0.7323945986963302,0.029500469864039824,0.8647420838814728,0.004550121869491958,0.9
90_10,trend,test_final,1.5685651831776761,0.14633113529535677,0.9784555632568559,0.003613887454668332,0.920301614661154,0.044552636040674304,0.9139566828870759,0.012283818587466955,0.9
90_10,trend,val_inner,1.6129015935732434,0.12946324601312373,0.9858268449263761,0.0035720394773977554,0.9565452113684131,0.055025976413615785,0.9246106409203095,0.011203679126419565,0.9
