protocol,split,segment,fold,metric,slope,r_squared,range
fullcatalog,n/a,trend,3,recall,-0.06437313722761481,0.9383972122510098,0.04477001025508487
fullcatalog,n/a,trend,4,recall,-0.03485953724924315,0.863601351604657,0.028328983108394892
fullcatalog,n/a,trend,5,recall,-0.024890750538898696,0.7021983646160234,0.021116990005878897
fullcatalog,n/a,trend,6,recall,-0.014459820015375572,0.5003606978603814,0.01686948853615519
fullcatalog,n/a,trend,7,recall,-0.07421147692886824,0.9400861311306603,0.05093716669803626
fullcatalog,n/a,trend,8,recall,0.0009897203831027677,0.001965819561287791,0.017714169000933713
fullcatalog,n/a,trend,9,recall,0.013857026995713137,0.7016225412032273,0.013008342022940558
testonly,test_final,new,0,recall,0.0,0.0,0.0
testonly,test_final,new,1,recall,0.0,0.0,0.0
testonly,test_final,new,2,recall,0.0,0.0,0.0
testonly,test_final,new,3,recall,0.0,0.0,0.0
testonly,test_final,new,4,recall,0.0,0.0,0.0
testonly,test_final,new,5,recall,0.0,0.0,0.0
testonly,test_final,new,6,recall,0.0,0.0,0.0
testonly,test_final,new,7,recall,0.0,0.0,0.0
testonly,test_final,new,8,recall,0.0,0.0,0.0
testonly,test_final,new,9,recall,0.0,0.0,0.0
testonly,val_inner,new,0,recall,0.0,0.0,0.0
testonly,val_inner,new,1,recall,0.0,0.0,0.0
testonly,val_inner,new,2,recall,0.0,0.0,0.0
testonly,val_inner,new,3,recall,0.0,0.0,0.0
testonly,val_inner,new,4,recall,0.0,0.0,0.0
testonly,val_inner,new,5,recall,0.0,0.0,0.0
testonly,val_inner,new,6,recall,0.0,0.0,0.0
testonly,val_inner,new,7,recall,0.0,0.0,0.0
testonly,val_inner,new,8,recall,0.0,0.0,0.0
testonly,val_inner,new,9,recall,0.0,0.0,0.0
testonly,test_final,regular,0,recall,0.018397794243446987,0.9000427712830456,0.016437822925172374
testonly,test_final,regular,1,recall,0.021355594298923475,0.8800371839920562,0.0181145134102636
testonly,test_final,regular,2,recall,0.02226958982315858,0.812978887071818,0.02000083919294915
testonly,test_final,regular,3,recall,0.01600036389350819,0.8372746688500671,0.013511285110174742
testonly,test_final,regular,4,recall,0.0188319554826832,0.8916828885363788,0.01487162843964318
testonly,test_final,regular,5,recall,0.018434725321197904,0.6848358117363318,0.016689166462690808
testonly,test_final,regular,6,recall,0.014346800206711124,0.865536833563476,0.011662031273510842
testonly,test_final,regular,7,recall,0.011255676457814057,0.8179664041213118,0.010555063396254005
testonly,test_final,regular,8,recall,0.014412898945967792,0.8151674646207688,0.012538241108418058
testonly,test_final,regular,9,recall,0.013723646550808153,0.8247243046116894,0.011814203220656072
testonly,val_inner,regular,0,recall,0.010092293516404522,0.8521621208925731,0.008389224113076632
testonly,val_inner,regular,1,recall,0.011475969643319409,0.8377843326167016,0.01069169159981731
testonly,val_inner,regular,2,recall,0.00986646412596944,0.6941102079999051,0.010382478115397276
testonly,val_inner,regular,3,recall,0.014824201894628927,0.8342812393565281,0.014075834772756202
testonly,val_inner,regular,4,recall,0.012589202487510517,0.9034158868425183,0.010818621001334683
testonly,val_inner,regular,5,recall,0.013246243772992826,0.8206629496185759,0.011753262955229826
testonly,val_inner,regular,6,recall,0.009320333231242003,0.8151705470933872,0.00859421279688044
